Report Date,County,Place of Fatality,Deaths by County of Residence
01/04/2021,Ulster,91,151
01/04/2021,Warren,37,32
01/04/2021,Washington,11,16
01/04/2021,Wayne,23,43
01/04/2021,Westchester,"1,838","1,692"
01/04/2021,Wyoming,21,27
01/04/2021,Yates,8,13
01/04/2022,Albany,772,443
01/04/2022,Allegany,82,138
01/04/2022,Bronx,"4,364","4,824"
01/04/2022,Broome,555,471
01/04/2022,Cattaraugus,197,191
01/04/2022,Cayuga,92,120
01/04/2022,Chautauqua,227,229
01/04/2022,Chemung,258,195
01/04/2022,Chenango,65,101
01/04/2022,Clinton,81,58
01/04/2022,Columbia,128,122
01/04/2022,Cortland,82,92
01/04/2022,Delaware,23,59
01/04/2022,Dutchess,588,543
01/04/2022,Erie,"2,521","2,261"
01/04/2022,Essex,35,48
01/04/2022,Franklin,21,33
01/04/2022,Fulton,85,134
01/04/2022,Genesee,145,163
01/04/2022,Greene,31,99
01/04/2022,Hamilton,0,4
01/04/2022,Herkimer,59,160
01/04/2022,Jefferson,107,118
01/04/2022,Kings,"7,099","7,868"
01/04/2022,Lewis,13,41
01/04/2022,Livingston,67,94
01/04/2022,Madison,107,118
01/04/2022,Manhattan,"5,295","3,237"
01/04/2022,Monroe,"1,573","1,358"
01/04/2022,Montgomery,149,177
01/04/2022,Nassau,"4,182","3,430"
01/04/2022,Niagara,309,477
01/04/2022,Non-NYS,0,394
01/04/2022,Oneida,732,707
01/04/2022,Onondaga,"1,077",891
01/04/2022,Ontario,198,146
01/04/2022,Orange,897,838
01/04/2022,Orleans,52,104
01/04/2022,Oswego,94,150
01/04/2022,Otsego,113,71
01/04/2022,Putnam,94,106
01/04/2022,Queens,"6,046","7,449"
01/04/2022,Rensselaer,180,218
01/04/2022,Richmond,"1,224","1,246"
01/04/2022,Rockland,775,811
01/04/2022,Saratoga,197,271
01/04/2022,Schenectady,258,270
01/04/2022,Schoharie,7,29
01/04/2022,Schuyler,5,23
01/04/2022,Seneca,33,81
01/04/2022,St. Lawrence,148,159
01/04/2022,Statewide Total,"48,898","48,898"
01/04/2022,Steuben,177,221
01/04/2022,Suffolk,"3,878","3,861"
01/04/2022,Sullivan,82,103
01/04/2022,Tioga,40,79
01/04/2022,Tompkins,78,73
01/04/2022,Ulster,178,314
01/04/2022,Warren,171,108
01/04/2022,Washington,36,93
01/04/2022,Wayne,76,133
01/04/2022,Westchester,"2,655","2,433"
01/04/2022,Wyoming,61,74
01/04/2022,Yates,24,36
01/05/2021,Albany,323,221
01/05/2021,Allegany,54,75
01/05/2021,Bronx,"3,268","3,578"
01/05/2021,Broome,237,217
01/05/2021,Cattaraugus,46,50
01/05/2021,Cayuga,26,34
01/05/2021,Chautauqua,31,28
01/05/2021,Chemung,123,99
01/05/2021,Chenango,18,26
01/05/2021,Clinton,11,9
01/05/2021,Columbia,59,62
01/05/2021,Cortland,41,41
01/05/2021,Delaware,5,13
01/05/2021,Dutchess,266,255
01/05/2021,Erie,"1,340","1,257"
01/05/2021,Essex,13,16
01/05/2021,Franklin,8,9
01/05/2021,Fulton,28,39
01/05/2021,Genesee,59,66
01/05/2021,Greene,13,31
01/05/2021,Hamilton,0,1
01/05/2021,Herkimer,14,30
01/05/2021,Jefferson,11,12
01/05/2021,Kings,"4,941","5,495"
01/05/2021,Lewis,6,17
01/05/2021,Livingston,15,28
01/05/2021,Madison,66,71
01/05/2021,Manhattan,"3,680","2,277"
01/05/2021,Monroe,708,630
01/05/2021,Montgomery,54,58
01/05/2021,Nassau,"2,991","2,445"
01/05/2021,Niagara,143,197
01/05/2021,Non-NYS,0,157
01/05/2021,Oneida,282,282
01/05/2021,Onondaga,508,465
01/05/2021,Ontario,83,70
01/05/2021,Orange,546,528
01/05/2021,Orleans,42,64
01/05/2021,Oswego,41,49
01/05/2021,Otsego,20,17
01/05/2021,Putnam,66,67
01/05/2021,Queens,"4,366","5,426"
01/05/2021,Rensselaer,76,88
01/05/2021,Richmond,904,908
01/05/2021,Rockland,559,600
01/05/2021,Saratoga,31,48
01/05/2021,Schenectady,90,96
01/05/2021,Schoharie,0,5
01/05/2021,Schuyler,4,10
01/05/2021,Seneca,27,41
01/05/2021,St. Lawrence,47,48
01/05/2021,Statewide Total,"30,965","30,965"
01/05/2021,Steuben,109,125
